algorithm,dataset,task,timestamp,status,reason,total,correct,incorrect,notmatched,accuracy,fnmr,fmr,known_total,unknown_total,correct_accepts,correct_rejects,false_accepts,false_rejects,misidentified_known,open_set,evaluation_time_seconds,n_clusters,n_samples,feature_dimension,ari,nmi,silhouette_score,clustering_time_seconds,data_split,segment_seconds,source_files,skipped_files,evaluation_note
SVM,n-to-n,multi-class,2026-05-12T21:59:19.353222,PASS,,810,211,599,0,0.26049382716049385,0.0,0.7395061728395061,810,0,211,0,0,0,599,False,146.68307662010193,,,,,,,,,,,,
RandomForest,n-to-n,multi-class,2026-05-12T22:03:21.583940,PASS,,810,213,597,0,0.26296296296296295,0.0,0.737037037037037,810,0,213,0,0,0,597,False,108.00635957717896,,,,,,,,,,,,
KNN,n-to-n,multi-class,2026-05-12T22:06:48.180545,PASS,,810,130,680,0,0.16049382716049382,0.0,0.8395061728395061,810,0,130,0,0,0,680,False,103.2048647403717,,,,,,,,,,,,
CNN,n-to-n,deep-learning,2026-05-12T22:15:46.904922,PASS,,810,226,584,0,0.27901234567901234,0.0,0.7209876543209877,810,0,226,0,0,0,584,False,91.2023651599884,,,,,,,,,,,,
Clustering,n-to-n,unsupervised,2026-05-12T22:17:20.017964,PASS,,,,,,,,,,,,,,,,,,100,823,40,0.04048366860554803,0.4958989893242602,-0.0018402855785630823,93.00847840309143,train,,,,
SVM,1-to-1,multi-class,2026-05-12T22:17:22.073917,FAIL,training returned no model; SVM requires at least 2 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,1-to-1,multi-class,2026-05-12T22:17:26.298524,PASS,,10,10,0,0,1.0,0.0,0.0,10,0,10,0,0,0,0,False,2.0042123794555664,,,,,,,,,,,,
KNN,1-to-1,multi-class,2026-05-12T22:17:30.072810,PASS,,10,10,0,0,1.0,0.0,0.0,10,0,10,0,0,0,0,False,1.7304017543792725,,,,,,,,,,,,
CNN,1-to-1,deep-learning,2026-05-12T22:17:44.452483,PASS,,10,10,0,0,1.0,0.0,0.0,10,0,10,0,0,0,0,False,1.622659683227539,,,,,,,,,,,,
Clustering,1-to-1,unsupervised,2026-05-12T22:17:46.167501,PASS,,,,,,,,,,,,,,,,,,1,10,40,1.0,1.0,0.0,1.6981728076934814,test,,,,
SVM,1-to-n,multi-class,2026-05-12T22:17:47.968757,FAIL,training returned no model; SVM requires at least 2 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,1-to-n,multi-class,2026-05-12T22:19:41.905912,PASS,,694,10,684,0,0.01440922190201729,0.0,1.0,10,684,10,0,684,0,0,True,111.70987892150879,,,,,,,,,,,,
KNN,1-to-n,multi-class,2026-05-12T22:21:26.948754,PASS,,694,10,684,0,0.01440922190201729,0.0,1.0,10,684,10,0,684,0,0,True,103.47397518157959,,,,,,,,,,,,
CNN,1-to-n,deep-learning,2026-05-12T22:23:25.181317,PASS,,694,10,684,0,0.01440922190201729,0.0,1.0,10,684,10,0,684,0,0,True,105.77427959442139,,,,,,,,,,,,
Clustering,1-to-n,unsupervised,2026-05-12T22:25:08.614158,PASS,,,,,,,,,,,,,,,,,,17,694,40,0.07033458001338296,0.23695313074063346,0.03392104934373953,103.39713168144226,test,,,,
SVM,large_combined,multi-class,2026-05-12T22:25:08.626191,FAIL,FileNotFoundError: [WinError 3] The system cannot find the path specified: 'C:\\Users\\Chris Boddy\\OneDrive\\Documents\\Cyber Security and Digital Forensics MSc\\Applications of Artificial Intelligence in Cyber Security\\Assessment\\project\\data\\large_combined\\train',,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,large_combined,multi-class,2026-05-12T22:25:08.637536,FAIL,FileNotFoundError: [WinError 3] The system cannot find the path specified: 'C:\\Users\\Chris Boddy\\OneDrive\\Documents\\Cyber Security and Digital Forensics MSc\\Applications of Artificial Intelligence in Cyber Security\\Assessment\\project\\data\\large_combined\\train',,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNN,large_combined,multi-class,2026-05-12T22:25:08.647750,FAIL,FileNotFoundError: [WinError 3] The system cannot find the path specified: 'C:\\Users\\Chris Boddy\\OneDrive\\Documents\\Cyber Security and Digital Forensics MSc\\Applications of Artificial Intelligence in Cyber Security\\Assessment\\project\\data\\large_combined\\train',,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN,large_combined,deep-learning,2026-05-12T22:25:08.662250,FAIL,FileNotFoundError: [WinError 3] The system cannot find the path specified: 'C:\\Users\\Chris Boddy\\OneDrive\\Documents\\Cyber Security and Digital Forensics MSc\\Applications of Artificial Intelligence in Cyber Security\\Assessment\\project\\data\\large_combined\\train',,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clustering,large_combined,unsupervised,2026-05-12T22:26:49.390323,PASS,,,,,,,,,,,,,,,,,,3,1293,40,,,0.06646399045007793,100.68103981018066,,5.0,1,0,segment-level clustering without ground-truth labels
SVM,large_mixed,multi-class,2026-05-12T22:26:49.402303,FAIL,FileNotFoundError: [WinError 3] The system cannot find the path specified: 'C:\\Users\\Chris Boddy\\OneDrive\\Documents\\Cyber Security and Digital Forensics MSc\\Applications of Artificial Intelligence in Cyber Security\\Assessment\\project\\data\\large_mixed\\train',,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,large_mixed,multi-class,2026-05-12T22:26:49.414324,FAIL,FileNotFoundError: [WinError 3] The system cannot find the path specified: 'C:\\Users\\Chris Boddy\\OneDrive\\Documents\\Cyber Security and Digital Forensics MSc\\Applications of Artificial Intelligence in Cyber Security\\Assessment\\project\\data\\large_mixed\\train',,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNN,large_mixed,multi-class,2026-05-12T22:26:49.428207,FAIL,FileNotFoundError: [WinError 3] The system cannot find the path specified: 'C:\\Users\\Chris Boddy\\OneDrive\\Documents\\Cyber Security and Digital Forensics MSc\\Applications of Artificial Intelligence in Cyber Security\\Assessment\\project\\data\\large_mixed\\train',,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN,large_mixed,deep-learning,2026-05-12T22:26:49.443894,FAIL,FileNotFoundError: [WinError 3] The system cannot find the path specified: 'C:\\Users\\Chris Boddy\\OneDrive\\Documents\\Cyber Security and Digital Forensics MSc\\Applications of Artificial Intelligence in Cyber Security\\Assessment\\project\\data\\large_mixed\\train',,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clustering,large_mixed,unsupervised,2026-05-12T22:29:12.191429,PASS,,,,,,,,,,,,,,,,,,3,2004,40,,,0.06666537987991838,142.7036988735199,,5.0,2,1,segment-level clustering without ground-truth labels
